iteration,activation,optimizer,layer,neuron,lr,epoch,rate,meanRMSE1,varRMSE1,meanRMSE5,varRMSE5,meanRMSE,varRMSE
43,2,2,1,10,0.0168,3540,2,0.051737188,0.005283666,0.019253584,0.003626149,0.015519598,0.055493895
44,3,4,3,8,0.00058,3337,2,0.017750871,0.028199659,0.020609091,0.002456112,0.015888943,0.045421613
45,2,4,3,8,0.0087,3085,2,0.012305547,0.007968837,0.019177162,0.002819787,0.014859954,0.061687711
1,4,4,3,14,0.1,3921,1,,,,,,
6,1,4,4,12,0.006,2446,1,,,,,,
11,1,3,4,15,0.027,2195,1,,,,,,
16,3,3,3,14,0.0206,2471,1,,,,,,
21,3,2,4,10,0.00153,1748,1,,,,,,
26,1,2,4,16,0.1,3301,1,,,,,,
31,1,4,4,14,0.0033,2611,1,,,,,,
36,2,2,2,16,0.0293,5000,1,,,,,,
41,2,2,3,13,0.0409,2473,1,,,,,,
1,1,4,2,15,0.0007,1805,3,,,,,,
